Device: cpu

============================================================
ptorch | MNIST_4L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 256/5000 [00:10<02:53, 27.31step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 259/5000 [00:10<02:56, 26.81step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 262/5000 [00:10<02:56, 26.88step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 265/5000 [00:10<02:56, 26.88step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 268/5000 [00:10<02:55, 26.93step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 271/5000 [00:10<02:55, 26.90step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 274/5000 [00:10<02:55, 26.98step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 277/5000 [00:11<02:53, 27.15step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 280/5000 [00:11<02:54, 27.09step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 283/5000 [00:11<02:53, 27.26step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 286/5000 [00:11<02:52, 27.34step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 289/5000 [00:11<02:51, 27.51step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 292/5000 [00:11<02:50, 27.58step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 295/5000 [00:11<02:50, 27.57step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 298/5000 [00:11<02:50, 27.50step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 301/5000 [00:11<02:50, 27.52step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 304/5000 [00:12<02:49, 27.71step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 307/5000 [00:12<02:48, 27.89step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▌         | 310/5000 [00:12<02:49, 27.66step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 313/5000 [00:12<02:50, 27.56step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 316/5000 [00:12<02:50, 27.55step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 319/5000 [00:12<02:50, 27.46step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 322/5000 [00:12<02:52, 27.14step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 325/5000 [00:12<02:54, 26.86step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 328/5000 [00:12<02:53, 26.85step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 331/5000 [00:13<02:52, 27.03step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 334/5000 [00:13<02:52, 27.05step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 337/5000 [00:13<02:50, 27.38step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 340/5000 [00:13<02:48, 27.73step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 343/5000 [00:13<02:45, 28.07step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 346/5000 [00:13<02:46, 27.90step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 349/5000 [00:13<02:46, 27.91step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 352/5000 [00:13<02:48, 27.62step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 355/5000 [00:13<02:48, 27.58step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 358/5000 [00:13<02:47, 27.65step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 361/5000 [00:14<02:48, 27.46step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 364/5000 [00:14<02:51, 26.97step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 367/5000 [00:14<02:50, 27.20step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 370/5000 [00:14<02:55, 26.45step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 373/5000 [00:14<02:52, 26.78step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 376/5000 [00:14<02:50, 27.13step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 379/5000 [00:14<02:49, 27.22step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 382/5000 [00:14<02:48, 27.39step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 385/5000 [00:14<02:47, 27.49step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 388/5000 [00:15<02:48, 27.35step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 391/5000 [00:15<02:49, 27.26step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 394/5000 [00:15<02:49, 27.23step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 397/5000 [00:15<02:51, 26.88step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 400/5000 [00:15<02:52, 26.68step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 400/5000 [00:15<02:52, 26.68step/s, best=0.8551, val_acc=0.9041]
