Device: cpu

============================================================
ptorch | MNIST_1L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█▏        | 571/5000 [00:07<00:55, 79.67step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 580/5000 [00:07<00:55, 80.05step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 589/5000 [00:07<00:54, 80.38step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 598/5000 [00:07<00:54, 80.65step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 600/5000 [00:08<00:54, 80.65step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 607/5000 [00:08<01:19, 54.97step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▏        | 616/5000 [00:08<01:11, 61.03step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  12%|█▎        | 625/5000 [00:08<01:06, 65.91step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  13%|█▎        | 634/5000 [00:08<01:02, 69.84step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  13%|█▎        | 642/5000 [00:08<01:00, 71.56step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  13%|█▎        | 650/5000 [00:08<00:59, 72.70step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  13%|█▎        | 658/5000 [00:08<00:58, 74.51step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  13%|█▎        | 667/5000 [00:08<00:56, 76.47step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▎        | 676/5000 [00:09<00:55, 78.01step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▎        | 685/5000 [00:09<00:54, 78.89step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▍        | 694/5000 [00:09<00:54, 79.39step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▍        | 703/5000 [00:09<00:53, 80.35step/s, best=0.8882, val_acc=0.9146]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▍        | 712/5000 [00:09<00:53, 80.56step/s, best=0.8882, val_acc=0.9146]
