Device: cpu

============================================================
ptorch | MNIST_1L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▎        | 675/5000 [00:06<00:40, 105.63step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▎        | 687/5000 [00:06<00:40, 107.41step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▍        | 699/5000 [00:06<00:39, 110.17step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▍        | 711/5000 [00:06<00:38, 110.06step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  14%|█▍        | 723/5000 [00:07<00:38, 109.79step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  15%|█▍        | 735/5000 [00:07<00:38, 109.75step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  15%|█▍        | 747/5000 [00:07<00:38, 109.63step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  15%|█▌        | 758/5000 [00:07<00:38, 109.64step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  15%|█▌        | 769/5000 [00:07<00:38, 109.63step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 781/5000 [00:07<00:38, 109.76step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 792/5000 [00:07<00:38, 109.72step/s, best=0.8897, val_acc=0.9148]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 800/5000 [00:07<00:38, 109.72step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▌        | 803/5000 [00:07<00:53, 78.60step/s, best=0.9148, val_acc=0.9280] 
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  16%|█▋        | 815/5000 [00:07<00:48, 86.47step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  17%|█▋        | 827/5000 [00:08<00:44, 92.79step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  17%|█▋        | 839/5000 [00:08<00:42, 97.61step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  17%|█▋        | 851/5000 [00:08<00:40, 101.38step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  17%|█▋        | 863/5000 [00:08<00:39, 104.21step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 875/5000 [00:08<00:38, 106.32step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 887/5000 [00:08<00:38, 107.89step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 899/5000 [00:08<00:37, 108.92step/s, best=0.9148, val_acc=0.9280]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  18%|█▊        | 911/5000 [00:08<00:37, 109.14step/s, best=0.9148, val_acc=0.9280]
