framework,task,norm,optimizer,loss,run,step,train_acc,val_acc,wall_time_s
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10100,1.0,0.7341746687889099,118.26982474327087
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10200,1.0,0.734375,119.4353129863739
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10300,1.0,0.7350761294364929,120.60124087333679
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10400,1.0,0.7349759936332703,121.76978349685669
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10500,1.0,0.7355769276618958,122.93622350692749
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10600,1.0,0.7358773946762085,124.10327053070068
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10700,1.0,0.7362780570983887,125.26937174797058
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10800,1.0,0.7356770634651184,126.4357693195343
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10900,1.0,0.7369791865348816,127.60174226760864
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11000,1.0,0.7367788553237915,128.77230501174927
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11100,1.0,0.7364783883094788,129.93829560279846
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11200,1.0,0.7375801205635071,131.10589957237244
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11300,1.0,0.7378806471824646,132.2726709842682
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11400,1.0,0.737379789352417,133.43925619125366
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11500,1.0,0.7372796535491943,134.60563778877258
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11600,1.0,0.7375801205635071,135.77234935760498
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11700,1.0,0.7375801205635071,136.9384264945984
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11800,1.0,0.7379807829856873,138.10458636283875
torch,CIFAR10,l2,AdamW,CrossEntropy,1,11900,1.0,0.7379807829856873,139.27058458328247
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12000,1.0,0.7375801205635071,140.43562173843384
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12100,1.0,0.7375801205635071,141.603750705719
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12200,1.0,0.7376803159713745,142.77144265174866
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12300,1.0,0.7378806471824646,143.9377646446228
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12400,1.0,0.7376803159713745,145.10474610328674
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12500,1.0,0.7389823794364929,146.2715413570404
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12600,1.0,0.73828125,147.43954849243164
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12700,1.0,0.73828125,148.60522389411926
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12800,1.0,0.7389823794364929,149.77228140830994
torch,CIFAR10,l2,AdamW,CrossEntropy,1,12900,1.0,0.7385817170143127,150.93974256515503
torch,CIFAR10,l2,AdamW,CrossEntropy,1,13000,1.0,0.7383814454078674,152.10674667358398
torch,CIFAR10,l2,AdamW,CrossEntropy,1,13100,1.0,0.7387820482254028,153.273291349411
torch,CIFAR10,l2,AdamW,CrossEntropy,1,13200,1.0,0.7396835088729858,154.43891096115112
torch,CIFAR10,l2,AdamW,CrossEntropy,1,13300,1.0,0.7387820482254028,155.60591983795166
