framework,task,norm,optimizer,loss,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14100,0.765830078125,0.5131293535232544,349.4886386394501
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14200,0.767568359375,0.5173611044883728,351.8190634250641
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14300,0.7678125,0.5158420205116272,354.1466598510742
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14400,0.76779296875,0.5121527910232544,356.47296714782715
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14500,0.769423828125,0.5132378339767456,358.79744601249695
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14600,0.769306640625,0.5151909589767456,361.12311339378357
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14700,0.770205078125,0.5152994990348816,363.44969058036804
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14800,0.7713671875,0.512803852558136,365.7776606082916
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14900,0.7709375,0.515733540058136,368.103711605072
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15000,0.7726171875,0.5154079794883728,370.4289872646332
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15100,0.771103515625,0.5164930820465088,372.75533747673035
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15200,0.773642578125,0.5126953125,375.08116364479065
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15300,0.77318359375,0.510850727558136,377.406724691391
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15400,0.77349609375,0.5152994990348816,379.732709646225
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15500,0.773955078125,0.5122612714767456,382.05943059921265
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15600,0.77654296875,0.5115017294883728,384.38815903663635
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15700,0.774365234375,0.5131293535232544,386.71745252609253
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15800,0.774453125,0.5110676884651184,389.04341173171997
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,15900,0.777294921875,0.5116102695465088,391.3701629638672
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16000,0.77736328125,0.5131293535232544,393.69721007347107
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16100,0.77787109375,0.5145399570465088,396.0234248638153
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16200,0.77794921875,0.5110676884651184,398.35257863998413
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16300,0.778017578125,0.5121527910232544,400.67911648750305
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16400,0.7787109375,0.5130208134651184,403.00735783576965
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16500,0.77916015625,0.5142143964767456,405.3335750102997
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16600,0.778896484375,0.5134548544883728,407.660453081131
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16700,0.780419921875,0.513671875,409.9923393726349
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16800,0.781083984375,0.5130208134651184,412.319007396698
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,16900,0.781416015625,0.5109592080116272,414.64536809921265
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17000,0.78158203125,0.5138888955116272,416.96726989746094
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17100,0.781435546875,0.5129123330116272,419.29200744628906
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17200,0.783388671875,0.5135633945465088,421.61935091018677
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17300,0.782705078125,0.5123698115348816,423.95029306411743
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17400,0.78341796875,0.5104166865348816,426.2798776626587
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17500,0.78337890625,0.5116102695465088,428.6058223247528
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17600,0.785322265625,0.514756977558136,430.93391585350037
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17700,0.78279296875,0.5094401240348816,433.26365900039673
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17800,0.7862109375,0.5119357705116272,435.5913097858429
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,17900,0.78701171875,0.5133463740348816,437.91541171073914
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18000,0.78638671875,0.51171875,440.24068212509155
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18100,0.78490234375,0.5107421875,442.5668206214905
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,18200,0.787705078125,0.5115017294883728,444.894020318985
