step_bucket,key,metric,count,mean,max
300,"matmul_pw_(256, 16, 64, 64)",z_norm,400,4423.91,4839.51
300,"matmul_pw_(256, 16, 64, 8)",a_rel_move,400,0.0051377,0.00638865
300,"matmul_pw_(256, 16, 64, 8)",t_max,400,0.0160186,0.0164591
300,"matmul_pw_(256, 16, 64, 8)",t_mean,400,8.3093e-05,9.32371e-05
300,"matmul_pw_(256, 16, 64, 8)",t_sat,400,0,0
300,"matmul_pw_(256, 16, 64, 8)",z_norm,400,1098.25,1392.78
300,rmsnorm,rel_delta,800,0.00262275,0.00448085
300,rmsnorm,sigma_flip,800,0,0
300,softmax,clamp_frac,400,0.000260191,0.000818968
300,softmax,max_logit_disp,400,3.08167,3.26542
300,softmax,mean_logit_disp,400,0.0315305,0.0441841
300,softmax,z_min,400,-0.000698067,-0.000446236
